A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
gpu count: 1
Total number of parameters:  1639684
Episode 235, Reward: 0.0, Mean Loss: 0.023009251073774783, Number of Steps: 122
Episode 236, Reward: 0.0, Mean Loss: 0.023428502904831387, Number of Steps: 122
Episode 237, Reward: 0.0, Mean Loss: 0.023408404307165107, Number of Steps: 122
Episode 238, Reward: 0.0, Mean Loss: 0.023342644902648497, Number of Steps: 122
Episode 239, Reward: 0.0, Mean Loss: 0.022890423480721886, Number of Steps: 122
Episode 240, Reward: 0.0, Mean Loss: 0.02337658544238962, Number of Steps: 122
Episode 241, Reward: 0.0, Mean Loss: 0.02310786430199619, Number of Steps: 122
Episode 242, Reward: 0.0, Mean Loss: 0.023270578325566737, Number of Steps: 122
Episode 243, Reward: 0.0, Mean Loss: 0.023046324246770084, Number of Steps: 122
Episode 244, Reward: 0.0, Mean Loss: 0.023018340999308256, Number of Steps: 122
Episode 245, Reward: 0.0, Mean Loss: 0.02284542940922948, Number of Steps: 122
Episode 246, Reward: 0.0, Mean Loss: 0.02331008624712952, Number of Steps: 122
Episode 247, Reward: 0.0, Mean Loss: 0.023091934120962894, Number of Steps: 122
Episode 248, Reward: 0.0, Mean Loss: 0.022647545427240463, Number of Steps: 122
Episode 249, Reward: 0.0, Mean Loss: 0.0230320317159716, Number of Steps: 122
Episode 250, Reward: 0.0, Mean Loss: 0.02310777845237591, Number of Steps: 122
Episode 251, Reward: 0.0, Mean Loss: 0.023153086669660043, Number of Steps: 122
Episode 252, Reward: 0.0, Mean Loss: 0.02328574463887785, Number of Steps: 122
Episode 253, Reward: 0.0, Mean Loss: 0.022926564594839518, Number of Steps: 122
Episode 254, Reward: 0.0, Mean Loss: 0.022961337355272768, Number of Steps: 122
Episode 255, Reward: 0.0, Mean Loss: 0.0224977427594732, Number of Steps: 122
Episode 256, Reward: 0.0, Mean Loss: 0.022943044134051172, Number of Steps: 122
Episode 257, Reward: 0.0, Mean Loss: 0.02315038426163259, Number of Steps: 122
Episode 258, Reward: 0.0, Mean Loss: 0.023146912596426088, Number of Steps: 122
Episode 259, Reward: 0.0, Mean Loss: 0.023089144321289258, Number of Steps: 122
Episode 260, Reward: 0.0, Mean Loss: 0.023332093002610518, Number of Steps: 122
Episode 261, Reward: 0.0, Mean Loss: 0.02320557393357406, Number of Steps: 122
Episode 262, Reward: 0.0, Mean Loss: 0.023151487943412905, Number of Steps: 122
Episode 263, Reward: 0.0, Mean Loss: 0.023381956120128514, Number of Steps: 122
Episode 264, Reward: 0.0, Mean Loss: 0.023218258027942494, Number of Steps: 122
Episode 265, Reward: 0.0, Mean Loss: 0.023146007076067062, Number of Steps: 122
Episode 266, Reward: 0.0, Mean Loss: 0.022757832364791807, Number of Steps: 122
Episode 267, Reward: 0.0, Mean Loss: 0.02285921850673984, Number of Steps: 122
Episode 268, Reward: 0.0, Mean Loss: 0.02325851064114297, Number of Steps: 122
Episode 269, Reward: 0.0, Mean Loss: 0.023388960017044037, Number of Steps: 122
Episode 270, Reward: 0.0, Mean Loss: 0.023226273200306735, Number of Steps: 122
Episode 271, Reward: 0.0, Mean Loss: 0.02335435965816017, Number of Steps: 122
Episode 272, Reward: 0.0, Mean Loss: 0.023350495081700263, Number of Steps: 122
Episode 273, Reward: 0.0, Mean Loss: 0.023331484925307212, Number of Steps: 122
Episode 274, Reward: 0.0, Mean Loss: 0.023305096556661558, Number of Steps: 122
Episode 275, Reward: 0.0, Mean Loss: 0.023178892015106402, Number of Steps: 122
Episode 276, Reward: 0.0, Mean Loss: 0.02300617598404165, Number of Steps: 122
Episode 277, Reward: 0.0, Mean Loss: 0.023564401097962113, Number of Steps: 122
Episode 278, Reward: 0.0, Mean Loss: 0.023106871927815457, Number of Steps: 122
Episode 279, Reward: 0.0, Mean Loss: 0.023143986136615315, Number of Steps: 122
Episode 280, Reward: 0.0, Mean Loss: 0.023305227094497838, Number of Steps: 122
Episode 281, Reward: 0.0, Mean Loss: 0.023269136527889086, Number of Steps: 122
Episode 282, Reward: 0.0, Mean Loss: 0.022466238177897693, Number of Steps: 122
Episode 283, Reward: 0.0, Mean Loss: 0.022998152750393484, Number of Steps: 122
Episode 284, Reward: 0.0, Mean Loss: 0.02313862071092504, Number of Steps: 122
Episode 285, Reward: 0.0, Mean Loss: 0.023121983824001022, Number of Steps: 122
Episode 286, Reward: 0.0, Mean Loss: 0.0233605028756085, Number of Steps: 122
Episode 287, Reward: 0.0, Mean Loss: 0.022886944941643884, Number of Steps: 122
Episode 288, Reward: 0.0, Mean Loss: 0.02267391594116324, Number of Steps: 122
Episode 289, Reward: 0.0, Mean Loss: 0.02338870562857292, Number of Steps: 122
Episode 290, Reward: 0.0, Mean Loss: 0.022940580694235817, Number of Steps: 122
Episode 291, Reward: 0.0, Mean Loss: 0.023446427322313435, Number of Steps: 122
Episode 292, Reward: 0.0, Mean Loss: 0.023155445255173112, Number of Steps: 122
Episode 293, Reward: 0.0, Mean Loss: 0.022963789325674087, Number of Steps: 122
Episode 294, Reward: 0.0, Mean Loss: 0.02276779167231489, Number of Steps: 122
Episode 295, Reward: 0.0, Mean Loss: 0.02318514599887078, Number of Steps: 122
