A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
gpu count: 1
Total number of parameters:  1640198
Episode 120, Reward: -21.0, Mean Loss: 5.446981430053711, Number of Steps: 764
Episode 121, Reward: -21.0, Mean Loss: 5.420045892605607, Number of Steps: 764
Episode 122, Reward: -21.0, Mean Loss: 5.466588190088721, Number of Steps: 764
Episode 123, Reward: -21.0, Mean Loss: 5.432323875227524, Number of Steps: 764
Episode 124, Reward: -21.0, Mean Loss: 5.432323875227524, Number of Steps: 764
Episode 125, Reward: -21.0, Mean Loss: 5.52521840939347, Number of Steps: 764
Episode 126, Reward: -21.0, Mean Loss: 5.434703447431794, Number of Steps: 764
Episode 127, Reward: -21.0, Mean Loss: 5.405578398579702, Number of Steps: 764
Episode 128, Reward: -21.0, Mean Loss: 5.464018557084168, Number of Steps: 764
Episode 129, Reward: -21.0, Mean Loss: 5.451930635262534, Number of Steps: 764
Episode 130, Reward: -21.0, Mean Loss: 5.483625317119179, Number of Steps: 764
Episode 131, Reward: -21.0, Mean Loss: 5.473916967501815, Number of Steps: 764
Episode 132, Reward: -21.0, Mean Loss: 5.4273746700187, Number of Steps: 764
Episode 133, Reward: -21.0, Mean Loss: 5.412717115192513, Number of Steps: 764
Episode 134, Reward: -21.0, Mean Loss: 5.42499509781443, Number of Steps: 764
Episode 135, Reward: -21.0, Mean Loss: 5.412717115192513, Number of Steps: 764
Episode 136, Reward: -21.0, Mean Loss: 5.42499509781443, Number of Steps: 764
Episode 137, Reward: -21.0, Mean Loss: 5.490954094532273, Number of Steps: 764
Episode 138, Reward: -21.0, Mean Loss: 5.449361002257981, Number of Steps: 764
Episode 139, Reward: -21.0, Mean Loss: 5.4273746700187, Number of Steps: 764
Episode 140, Reward: -21.0, Mean Loss: 5.417666320401336, Number of Steps: 764
Episode 141, Reward: -21.0, Mean Loss: 5.417666320401336, Number of Steps: 764
Episode 142, Reward: -21.0, Mean Loss: 5.454310207466804, Number of Steps: 764
Episode 143, Reward: -21.0, Mean Loss: 5.381022433335868, Number of Steps: 764
Episode 144, Reward: -21.0, Mean Loss: 5.476296539706086, Number of Steps: 764
Episode 145, Reward: -21.0, Mean Loss: 5.5056116493584595, Number of Steps: 764
Episode 146, Reward: -21.0, Mean Loss: 5.442222285645171, Number of Steps: 764
Episode 147, Reward: -21.0, Mean Loss: 5.398059560366326, Number of Steps: 764
Episode 148, Reward: -21.0, Mean Loss: 5.42499509781443, Number of Steps: 764
Episode 149, Reward: -21.0, Mean Loss: 5.395679988162056, Number of Steps: 764
Episode 150, Reward: -21.0, Mean Loss: 5.451930635262534, Number of Steps: 764
Episode 151, Reward: -21.0, Mean Loss: 5.512940426771554, Number of Steps: 764
Episode 152, Reward: -21.0, Mean Loss: 5.400629193370879, Number of Steps: 764
Episode 153, Reward: -21.0, Mean Loss: 5.5228388371892, Number of Steps: 764
Episode 154, Reward: -21.0, Mean Loss: 5.395679988162056, Number of Steps: 764
Episode 155, Reward: -21.0, Mean Loss: 5.3907307829532325, Number of Steps: 764
Episode 156, Reward: -21.0, Mean Loss: 5.464018557084168, Number of Steps: 764
Episode 157, Reward: -21.0, Mean Loss: 5.471347334497262, Number of Steps: 764
Episode 158, Reward: -21.0, Mean Loss: 5.4689677622929915, Number of Steps: 764
Episode 159, Reward: -21.0, Mean Loss: 5.4689677622929915, Number of Steps: 764
Episode 160, Reward: -21.0, Mean Loss: 5.444601857849441, Number of Steps: 764
Episode 161, Reward: -21.0, Mean Loss: 5.488574522328002, Number of Steps: 764
Episode 162, Reward: -21.0, Mean Loss: 5.410337542988243, Number of Steps: 764
Episode 163, Reward: -21.0, Mean Loss: 5.495903299741096, Number of Steps: 764
Episode 164, Reward: -21.0, Mean Loss: 5.444601857849441, Number of Steps: 764
Episode 165, Reward: -21.0, Mean Loss: 5.442032224844888, Number of Steps: 764
Episode 166, Reward: -21.0, Mean Loss: 5.471537395297545, Number of Steps: 764
Episode 167, Reward: -21.0, Mean Loss: 5.410337542988243, Number of Steps: 764
Episode 168, Reward: -21.0, Mean Loss: 5.4273746700187, Number of Steps: 764
Episode 169, Reward: -21.0, Mean Loss: 5.40538833777942, Number of Steps: 764
Episode 170, Reward: -21.0, Mean Loss: 5.512940426771554, Number of Steps: 764
Episode 171, Reward: -21.0, Mean Loss: 5.483625317119179, Number of Steps: 764
Episode 172, Reward: -21.0, Mean Loss: 5.395679988162056, Number of Steps: 764
Episode 173, Reward: -21.0, Mean Loss: 5.483625317119179, Number of Steps: 764
Episode 174, Reward: -21.0, Mean Loss: 5.42499509781443, Number of Steps: 764
Episode 175, Reward: -21.0, Mean Loss: 5.4689677622929915, Number of Steps: 764
Episode 176, Reward: -21.0, Mean Loss: 5.478676111910356, Number of Steps: 764
Episode 177, Reward: -21.0, Mean Loss: 5.42261552561016, Number of Steps: 764
Episode 178, Reward: -21.0, Mean Loss: 5.464018557084168, Number of Steps: 764
Episode 179, Reward: -21.0, Mean Loss: 5.466588190088721, Number of Steps: 764
Episode 180, Reward: -21.0, Mean Loss: 5.490954094532273, Number of Steps: 764
Episode 181, Reward: -21.0, Mean Loss: 5.3907307829532325, Number of Steps: 764
Episode 182, Reward: -21.0, Mean Loss: 5.361415673300858, Number of Steps: 764
Episode 183, Reward: -21.0, Mean Loss: 5.493333666736543, Number of Steps: 764
Episode 184, Reward: -21.0, Mean Loss: 5.42499509781443, Number of Steps: 764
Episode 185, Reward: -21.0, Mean Loss: 5.449361002257981, Number of Steps: 764
Episode 186, Reward: -21.0, Mean Loss: 5.388351210748962, Number of Steps: 764
Episode 187, Reward: -21.0, Mean Loss: 5.454310207466804, Number of Steps: 764
Episode 188, Reward: -21.0, Mean Loss: 5.446981430053711, Number of Steps: 764
Episode 189, Reward: -21.0, Mean Loss: 5.444601857849441, Number of Steps: 764
Episode 190, Reward: -21.0, Mean Loss: 5.486194950123732, Number of Steps: 764
Episode 191, Reward: -21.0, Mean Loss: 5.444601857849441, Number of Steps: 764
Episode 192, Reward: -21.0, Mean Loss: 5.417856381201619, Number of Steps: 764
Episode 193, Reward: -21.0, Mean Loss: 5.471347334497262, Number of Steps: 764
Episode 194, Reward: -21.0, Mean Loss: 5.398059560366326, Number of Steps: 764
Episode 195, Reward: -21.0, Mean Loss: 5.464018557084168, Number of Steps: 764
Episode 196, Reward: -21.0, Mean Loss: 5.403008765575149, Number of Steps: 764
Episode 197, Reward: -21.0, Mean Loss: 5.439652652640618, Number of Steps: 764
Episode 198, Reward: -21.0, Mean Loss: 5.471347334497262, Number of Steps: 764
Episode 199, Reward: -21.0, Mean Loss: 5.483625317119179, Number of Steps: 764
Episode 200, Reward: -21.0, Mean Loss: 5.454310207466804, Number of Steps: 764
