A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
gpu count: 1
Total number of parameters:  533
Episode 184, Reward: 0.0, Mean Loss: 7.501216986140267, Number of Steps: 122
Episode 185, Reward: 0.0, Mean Loss: 7.506621161445242, Number of Steps: 122
Episode 186, Reward: 0.0, Mean Loss: 7.4728675318545985, Number of Steps: 122
Episode 187, Reward: 0.0, Mean Loss: 7.487579818631782, Number of Steps: 122
Episode 188, Reward: 0.0, Mean Loss: 7.517164343693217, Number of Steps: 122
Episode 189, Reward: 0.0, Mean Loss: 7.499391751211197, Number of Steps: 122
Episode 190, Reward: 0.0, Mean Loss: 7.51339876847189, Number of Steps: 122
Episode 191, Reward: 0.0, Mean Loss: 7.512605983702863, Number of Steps: 122
Episode 192, Reward: 0.0, Mean Loss: 7.500007656754041, Number of Steps: 122
Episode 193, Reward: 0.0, Mean Loss: 7.486133469909918, Number of Steps: 122
Episode 194, Reward: 0.0, Mean Loss: 7.489190211061572, Number of Steps: 122
Episode 195, Reward: 0.0, Mean Loss: 7.4713511076129855, Number of Steps: 122
Episode 196, Reward: 0.0, Mean Loss: 7.498736471426292, Number of Steps: 122
Episode 197, Reward: 0.0, Mean Loss: 7.46869879081601, Number of Steps: 122
Episode 198, Reward: 0.0, Mean Loss: 7.51487030357611, Number of Steps: 122
Episode 199, Reward: 0.0, Mean Loss: 7.498919174319408, Number of Steps: 122
Episode 200, Reward: 0.0, Mean Loss: 7.515736720601066, Number of Steps: 122
Episode 201, Reward: 0.0, Mean Loss: 7.502280891918745, Number of Steps: 122
Episode 202, Reward: 0.0, Mean Loss: 7.515844829746934, Number of Steps: 122
Episode 203, Reward: 0.0, Mean Loss: 7.475296583331999, Number of Steps: 122
Episode 204, Reward: 0.0, Mean Loss: 7.515621912283976, Number of Steps: 122
Episode 205, Reward: 0.0, Mean Loss: 7.502811912630425, Number of Steps: 122
Episode 206, Reward: 0.0, Mean Loss: 7.522302979328593, Number of Steps: 122
Episode 207, Reward: 0.0, Mean Loss: 7.4893455622626135, Number of Steps: 122
Episode 208, Reward: 0.0, Mean Loss: 7.477624803292946, Number of Steps: 122
Episode 209, Reward: 0.0, Mean Loss: 7.455060689175715, Number of Steps: 122
